,Unnamed: 0,surname,firstname,music,nationality,birth,death,youtube_title,youtube_id,similarity,piano_solo_prob,audio_name,audio_duration,giant_midi_piano,split,surname_in_youtube_title,fullname,era
233,5966,Bach,Johann Sebastian,"Duetto No.2 in F major, BWV 803",British,1685,1750,J.S. Bach - BWV 803 - Duetto No.2 F-dur / F major,Dy_7dXtdPzc,0.8888888888888888,0.898448,"Bach, Johann Sebastian, Duetto No.2 in F major, BWV 803, Dy_7dXtdPzc",170.56946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
234,5967,Bach,Johann Sebastian,"Duetto No.3 in G major, BWV 804",British,1685,1750,J.S. Bach - BWV 804 - Duetto No.3 G-dur / G major,7Dc3en1ntpM,0.8888888888888888,0.8988018,"Bach, Johann Sebastian, Duetto No.3 in G major, BWV 804, 7Dc3en1ntpM",154.11746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
235,5968,Bach,Johann Sebastian,"Duetto No.4 in A minor, BWV 805",British,1685,1750,J.S. Bach - BWV 805 Duetto No.4 a-moll / A minor,UeXbygrzXrQ,0.8888888888888888,0.973052,"Bach, Johann Sebastian, Duetto No.4 in A minor, BWV 805, UeXbygrzXrQ",362.48546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
249,5982,Bach,Johann Sebastian,"English Suite No.1 in A major, BWV 806",British,1685,1750,Bach English Suite No 1 BWV 806 A major András Schiff,xS0lss7ogNI,0.9,0.85725117,"Bach, Johann Sebastian, English Suite No.1 in A major, BWV 806, xS0lss7ogNI",1212.12146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
250,5983,Bach,Johann Sebastian,"English Suite No.2 in A minor, BWV 807",British,1685,1750,Bach English Suite No 2 in A minor BWV 807 András Schiff,dTEYwfgWFD0,1.0,0.6946596,"Bach, Johann Sebastian, English Suite No.2 in A minor, BWV 807, dTEYwfgWFD0",1130.07746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
251,5984,Bach,Johann Sebastian,"English Suite No.3 in G minor, BWV 808",British,1685,1750,Bach English Suite No 3 in G minor BWV 808 András Schiff,H9gzsY9jIx4,1.0,0.82183695,"Bach, Johann Sebastian, English Suite No.3 in G minor, BWV 808, H9gzsY9jIx4",1017.90146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
253,5986,Bach,Johann Sebastian,"English Suite No.5 in E minor, BWV 810",British,1685,1750,Bach English Suite No 5 BWV 810 E minor András Schiff,_HKagOA4SFM,0.9,0.91890126,"Bach, Johann Sebastian, English Suite No.5 in E minor, BWV 810, _HKagOA4SFM",1180.54946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
254,5987,Bach,Johann Sebastian,"English Suite No.6 in D minor, BWV 811",British,1685,1750,Bach English Suite No 6 BWV 811 D minor Andras Schiff,IY0KTBQD3bQ,0.9,0.84123605,"Bach, Johann Sebastian, English Suite No.6 in D minor, BWV 811, IY0KTBQD3bQ",1427.07746875,1.0,validation,1.0,Johann Sebastian Bach,Baroque
288,6021,Bach,Johann Sebastian,"Fantasia and Fugue in A minor, BWV 904",British,1685,1750,"BRENDEL, J.S.Bach  Fantasia and Fugue in A minor, BWV904",Ln99yU7WNr0,0.7777777777777778,0.92631364,"Bach, Johann Sebastian, Fantasia and Fugue in A minor, BWV 904, Ln99yU7WNr0",538.09346875,1.0,test,1.0,Johann Sebastian Bach,Baroque
289,6022,Bach,Johann Sebastian,"Fantasia and Fugue in A minor, BWV 944",British,1685,1750,"J.S. Bach: Fantasia & Fugue In A Minor, BWV 944 - Fuga",6n3n6Ouw_4c,0.8888888888888888,0.821525,"Bach, Johann Sebastian, Fantasia and Fugue in A minor, BWV 944, 6n3n6Ouw_4c",265.75346875,1.0,train,1.0,Johann Sebastian Bach,Baroque
292,6025,Bach,Johann Sebastian,"Fantasia and Fugue in C minor, BWV 906",British,1685,1750,"Richter plays Bach Fantasia in C minor, BWV 906",dT7FnwO40cQ,0.7777777777777778,0.7192608,"Bach, Johann Sebastian, Fantasia and Fugue in C minor, BWV 906, dT7FnwO40cQ",278.82146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
293,6026,Bach,Johann Sebastian,"Fantasia and Fugue in D minor, BWV 905",British,1685,1750,Johann Sebastian Bach - BWV 905 - Fantasia and Fugue in D minor - Chris Breemer,wdd10j7RIao,1.0,0.962385,"Bach, Johann Sebastian, Fantasia and Fugue in D minor, BWV 905, wdd10j7RIao",329.54546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
302,6035,Bach,Johann Sebastian,"Fantasia in C minor, BWV 919",British,1685,1750,"Fantasy in C minor, BWV 919",2-eh1_yu6Vg,0.7142857142857143,0.9250395,"Bach, Johann Sebastian, Fantasia in C minor, BWV 919, 2-eh1_yu6Vg",132.51746875,1.0,train,0.0,Johann Sebastian Bach,Baroque
304,6037,Bach,Johann Sebastian,"Fantasia in D minor, BWV 903a",British,1685,1750,"Chromatic Fantasy in D minor, BWV 903a",-GLrRLJu2BE,0.7142857142857143,0.87968487,"Bach, Johann Sebastian, Fantasia in D minor, BWV 903a, -GLrRLJu2BE",377.64146875,1.0,train,0.0,Johann Sebastian Bach,Baroque
308,6041,Bach,Johann Sebastian,"Fantasia in G minor, BWV 920",British,1685,1750,"J.S. Bach, Fantasia in G Minor, BWV 920",2EGv3LpoAJw,1.0,0.65008456,"Bach, Johann Sebastian, Fantasia in G minor, BWV 920, 2EGv3LpoAJw",493.41746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
323,6056,Bach,Johann Sebastian,"French Suite No.2 in C minor, BWV 813",British,1685,1750,András Schiff - Bach. French Suite No.2 in C minor BWV813,FU0jr1obOao,0.8,0.79904026,"Bach, Johann Sebastian, French Suite No.2 in C minor, BWV 813, FU0jr1obOao",855.82946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
325,6058,Bach,Johann Sebastian,"French Suite No.4 in E-flat major, BWV 815",British,1685,1750,András Schiff - Bach. French Suite No.4 in E flat major BWV815,Z1fZ54Ho1nw,0.8181818181818182,0.7872763,"Bach, Johann Sebastian, French Suite No.4 in E-flat major, BWV 815, Z1fZ54Ho1nw",699.55346875,1.0,train,1.0,Johann Sebastian Bach,Baroque
326,6059,Bach,Johann Sebastian,"French Suite No.5 in G major, BWV 816",British,1685,1750,András Schiff - Bach. French Suite No.5 in G Major BWV816,f_U0lm6HZMk,0.8,0.7517,"Bach, Johann Sebastian, French Suite No.5 in G major, BWV 816, f_U0lm6HZMk",976.89746875,1.0,validation,1.0,Johann Sebastian Bach,Baroque
327,6060,Bach,Johann Sebastian,"French Suite No.6 in E major, BWV 817",British,1685,1750,András Schiff - Bach. French Suite No.6 in E Major BWV817,kkNPezHTWzU,0.8,0.7418064,"Bach, Johann Sebastian, French Suite No.6 in E major, BWV 817, kkNPezHTWzU",1057.57346875,1.0,test,1.0,Johann Sebastian Bach,Baroque
338,6071,Bach,Johann Sebastian,"Fugue (on the theme 'B-A-C-H') in C minor, BWV Anh.110",British,1685,1750,"Fuge c-moll nt. B-A-C-H (Fugue C minor on the theme ""B-A-C-H"")",LX1NdbKI9BE,0.6666666666666666,0.8076407,"Bach, Johann Sebastian, Fugue (on the theme 'B-A-C-H') in C minor, BWV Anh.110, LX1NdbKI9BE",277.16546875,1.0,train,0.0,Johann Sebastian Bach,Baroque
351,6084,Bach,Johann Sebastian,"Fugue in B-flat major, BWV Anh.105",British,1685,1750,"Bach: Menuet in B-flat Major, BWV Anh. 118 (Urtext Edition)",uBuSTf464T0,0.7777777777777778,0.9226408,"Bach, Johann Sebastian, Fugue in B-flat major, BWV Anh.105, uBuSTf464T0",94.50146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
352,6085,Bach,Johann Sebastian,"Fugue in B-flat major, BWV Anh.45",British,1685,1750,"Bach: March in E-flat Major, BWV Anh. 127 (Urtext Edition)",yPxxH2EOQu8,0.6666666666666666,0.93951494,"Bach, Johann Sebastian, Fugue in B-flat major, BWV Anh.45, yPxxH2EOQu8",120.09746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
355,6088,Bach,Johann Sebastian,"Fugue in C major, BWV 953",British,1685,1750,"J. S. Bach Fugue in C Major, BWV 953 from ""Four Little Fugues""",Lb3tUPg7p_s,1.0,0.9392554,"Bach, Johann Sebastian, Fugue in C major, BWV 953, Lb3tUPg7p_s",92.48546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
370,6103,Bach,Johann Sebastian,"Fugue in E minor, BWV 960",British,1685,1750,"Bach - Fugue in E minor, BWV 960",ZltFnDMfusw,1.0,0.5166215,"Bach, Johann Sebastian, Fugue in E minor, BWV 960, ZltFnDMfusw",135.68546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
377,6110,Bach,Johann Sebastian,"Fugue in F-sharp major, BWV Anh.97",British,1685,1750,"The Well-Tempered Clavier, Book 1: Fugue No. 13 in F-Sharp Major, BWV 858",PY4xmntLt88,0.6666666666666666,0.93161106,"Bach, Johann Sebastian, Fugue in F-sharp major, BWV Anh.97, PY4xmntLt88",136.62146875,1.0,train,0.0,Johann Sebastian Bach,Baroque
415,6148,Bach,Johann Sebastian,"Goldberg-Variationen, BWV 988",British,1685,1750,"Goldberg Variations Complete (J.S. Bach BWV 988), with score, Kimiko Ishizaka piano",15ezpwCHtJs,0.8,0.9182099,"Bach, Johann Sebastian, Goldberg-Variationen, BWV 988, 15ezpwCHtJs",4942.94546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
467,6200,Bach,Johann Sebastian,"Herr, ich habe missgehandelt, BWV 331",British,1685,1750,"BACH CHORALE (BWV 331): Herr, ich habe missgehandelt",r9UOPtkJido,1.0,0.81013054,"Bach, Johann Sebastian, Herr, ich habe missgehandelt, BWV 331, r9UOPtkJido",215.56946875,1.0,train,0.0,Johann Sebastian Bach,Baroque
530,6263,Bach,Johann Sebastian,"Invention in C major, BWV 772",British,1685,1750,"Bach - Invention No. 1 in C Major, BWV 772 with Sheet Music",R4IzqJtD4dM,1.0,0.97221136,"Bach, Johann Sebastian, Invention in C major, BWV 772, R4IzqJtD4dM",154.58546875,1.0,validation,1.0,Johann Sebastian Bach,Baroque
531,6264,Bach,Johann Sebastian,"Invention in C minor, BWV 773",British,1685,1750,"Bach-Invention No. 2 in C Minor, BWV 773 with Sheet Music",XCh0k-jsCiY,1.0,0.9368351,"Bach, Johann Sebastian, Invention in C minor, BWV 773, XCh0k-jsCiY",83.84546875,1.0,test,1.0,Johann Sebastian Bach,Baroque
532,6265,Bach,Johann Sebastian,"Invention in D major, BWV 774",British,1685,1750,"Bach: Invention 3 in D Major, BWV 774 (Urtext Edition)",whfkzyoRau8,1.0,0.91602784,"Bach, Johann Sebastian, Invention in D major, BWV 774, whfkzyoRau8",87.87746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
533,6266,Bach,Johann Sebastian,"Invention in D minor, BWV 775",British,1685,1750,"J.S. Bach Invention 4 in D Minor, BWV 775 | Tzvi Erez",3JVYh1ZX78c,1.0,0.7571723,"Bach, Johann Sebastian, Invention in D minor, BWV 775, 3JVYh1ZX78c",57.09746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
534,6267,Bach,Johann Sebastian,"Invention in E-flat major, BWV 776",British,1685,1750,"Bach: Invention 5 in E-flat Major, BWV 776 (Urtext Edition)",1Eya7xi4GoU,1.0,0.93310124,"Bach, Johann Sebastian, Invention in E-flat major, BWV 776, 1Eya7xi4GoU",111.27746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
535,6268,Bach,Johann Sebastian,"Invention in E major, BWV 777",British,1685,1750,"Bach: Invention 6 in E Major, BWV 777 (Musical Analysis)",UuMdUG-eZtk,1.0,0.96725243,"Bach, Johann Sebastian, Invention in E major, BWV 777, UuMdUG-eZtk",231.26546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
536,6269,Bach,Johann Sebastian,"Invention in E minor, BWV 778",British,1685,1750,"Bach: Invention 7 in E Minor, BWV 778 (Urtext Edition)",iI5lzwX785Y,1.0,0.92520005,"Bach, Johann Sebastian, Invention in E minor, BWV 778, iI5lzwX785Y",101.08946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
537,6270,Bach,Johann Sebastian,"Invention in F major, BWV 779",British,1685,1750,Invention in F major (BWV 779),-wfkUYsbOxM,0.8571428571428571,0.787667,"Bach, Johann Sebastian, Invention in F major, BWV 779, -wfkUYsbOxM",70.16546875,1.0,train,0.0,Johann Sebastian Bach,Baroque
538,6271,Bach,Johann Sebastian,"Invention in F minor, BWV 780",British,1685,1750,"Bach: Invention 9 in F Minor, BWV 780 (Urtext Edition)",1ytvth9cXeo,1.0,0.9347392,"Bach, Johann Sebastian, Invention in F minor, BWV 780, 1ytvth9cXeo",111.60146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
539,6272,Bach,Johann Sebastian,"Invention in G major, BWV 781",British,1685,1750,"Bach: Invention 10 in G Major, BWV 781 (Urtext Edition)",jVHqIK13-nk,1.0,0.90058315,"Bach, Johann Sebastian, Invention in G major, BWV 781, jVHqIK13-nk",65.70146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
540,6273,Bach,Johann Sebastian,"Invention in G minor, BWV 782",British,1685,1750,"Bach: Invention 11 in G Minor, BWV 782 (Musical Analysis)",p6zdhYloTnI,1.0,0.8913256,"Bach, Johann Sebastian, Invention in G minor, BWV 782, p6zdhYloTnI",104.54546875,1.0,validation,1.0,Johann Sebastian Bach,Baroque
541,6274,Bach,Johann Sebastian,"Invention in A major, BWV 783",British,1685,1750,"J.S. Bach: Invention No. 12 in A Major, BWV 783",qmorlhskYNI,1.0,0.91300434,"Bach, Johann Sebastian, Invention in A major, BWV 783, qmorlhskYNI",79.23746875,1.0,test,1.0,Johann Sebastian Bach,Baroque
542,6275,Bach,Johann Sebastian,"Invention in A minor, BWV 784",British,1685,1750,Invention No. 13 in A minor BWV 784 by J.S. Bach,TxtD9nBmNHI,1.0,0.96892357,"Bach, Johann Sebastian, Invention in A minor, BWV 784, TxtD9nBmNHI",73.26146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
543,6276,Bach,Johann Sebastian,"Invention in B-flat major, BWV 785",British,1685,1750,"Bach: Invention 14 in B-flat Major, BWV 785 (Musical Analysis)",3p_0SLgf7yU,1.0,0.8878171,"Bach, Johann Sebastian, Invention in B-flat major, BWV 785, 3p_0SLgf7yU",101.52146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
544,6277,Bach,Johann Sebastian,"Invention in B minor, BWV 786",British,1685,1750,"J.S. Bach: Invention No. 15 in B Minor, BWV 786",6ZlsbHOsRiY,1.0,0.88574827,"Bach, Johann Sebastian, Invention in B minor, BWV 786, 6ZlsbHOsRiY",71.74946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
627,6360,Bach,Johann Sebastian,"March in E-flat major, BWV Anh.127",British,1685,1750,"Bach, March in E-flat major, BWV Anh 127, Piano",-_6JYI6H1C8,1.0,0.8127101,"Bach, Johann Sebastian, March in E-flat major, BWV Anh.127, -_6JYI6H1C8",121.53746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
652,6385,Bach,Johann Sebastian,"Minuet in A minor, BWV Anh.120",British,1685,1750,"Bach, Minuet in A minor, BWV Anh 120",-v5tAtl2KjQ,1.0,0.8436468,"Bach, Johann Sebastian, Minuet in A minor, BWV Anh.120, -v5tAtl2KjQ",111.56546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
653,6386,Bach,Johann Sebastian,"Minuet in B-flat-major, BWV Anh.118",British,1685,1750,"Bach, Minuet in B-flat major, BWV Anh 118",uPOZKPBVhLM,1.0,0.76143867,"Bach, Johann Sebastian, Minuet in B-flat-major, BWV Anh.118, uPOZKPBVhLM",98.10146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
654,6387,Bach,Johann Sebastian,"Minuet in F major, BWV Anh.113",British,1685,1750,"Bach: Menuet in F Major, BWV Anh. 113 (Urtext Edition)",-OqSGhlsdgQ,0.875,0.96428704,"Bach, Johann Sebastian, Minuet in F major, BWV Anh.113, -OqSGhlsdgQ",120.24146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
655,6388,Bach,Johann Sebastian,"Minuet in G major, BWV Anh.114",British,1685,1750,"Bach, Minuet in G major, BWV Anh 114, Piano",p1gGxpitLO8,1.0,0.8358826,"Bach, Johann Sebastian, Minuet in G major, BWV Anh.114, p1gGxpitLO8",106.99346875,1.0,train,1.0,Johann Sebastian Bach,Baroque
659,6392,Bach,Johann Sebastian,"Musette in D major, BWV Anh.126",British,1685,1750,"Johann Sebastian BACH: Musette in D major, BWV Anh. 126",Fa8Wqn2fDaA,1.0,0.83356804,"Bach, Johann Sebastian, Musette in D major, BWV Anh.126, Fa8Wqn2fDaA",88.52546875,1.0,validation,0.0,Johann Sebastian Bach,Baroque
662,6395,Bach,Johann Sebastian,"Die Nacht ist kommen, BWV 296",British,1685,1750,"Die Nacht ist kommen, BWV 296",_Jv3YYjHnqc,0.8571428571428571,0.83101803,"Bach, Johann Sebastian, Die Nacht ist kommen, BWV 296, _Jv3YYjHnqc",58.06946875,1.0,test,0.0,Johann Sebastian Bach,Baroque
683,6416,Bach,Johann Sebastian,"Nun lob, mein Seel, den Herren, BWV 390",British,1685,1750,"Nun lob' mein' Seel', den Herren  Bach Chorale No  7 BWV 390",OqFDs-QqSho,1.0,0.97807944,"Bach, Johann Sebastian, Nun lob, mein Seel, den Herren, BWV 390, OqFDs-QqSho",293.22146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
736,6469,Bach,Johann Sebastian,"Partita in B-flat major, BWV 825",British,1685,1750,"Bach: Keyboard Partita No.1 in B-flat Major, BWV 825 (Blechacz, Anderszewski)",feikrhaRFTk,1.0,0.9286279,"Bach, Johann Sebastian, Partita in B-flat major, BWV 825, feikrhaRFTk",2099.37746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
737,6470,Bach,Johann Sebastian,"Partita in C minor, BWV 826",British,1685,1750,"Johann Sebastian Bach - Piano Partita No. 2 In C Minor, BWV 826 - Martha Argerich",VNG8Jmz5zqI,1.0,0.8805488,"Bach, Johann Sebastian, Partita in C minor, BWV 826, VNG8Jmz5zqI",1164.34946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
738,6471,Bach,Johann Sebastian,"Partita in A minor, BWV 827",British,1685,1750,"Bach: Keyboard Partita No.3 in A Minor, BWV 827 (Blechacz, Anderszewski)",kPQ42cP09pM,1.0,0.913271,"Bach, Johann Sebastian, Partita in A minor, BWV 827, kPQ42cP09pM",2187.68546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
739,6472,Bach,Johann Sebastian,"Partita in D major, BWV 828",British,1685,1750,"Bach: Keyboard Partita No.4 in D Major, BWV 828 (Grosvenor, Goode)",61Hn85VU7d0,1.0,0.91226536,"Bach, Johann Sebastian, Partita in D major, BWV 828, 61Hn85VU7d0",3002.04146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
740,6473,Bach,Johann Sebastian,"Partita in G major, BWV 829",British,1685,1750,"Bach: Keyboard Partita No.5 in G Major, BWV 829 (Goode, Levit)",aecenXn3obw,1.0,0.8606819,"Bach, Johann Sebastian, Partita in G major, BWV 829, aecenXn3obw",2414.19746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
741,6474,Bach,Johann Sebastian,"Partita in E minor, BWV 830",British,1685,1750,Bach Partita No 6 E minor BWV 830 Murray Perahia Piano,Hu0TihVQnaY,0.8571428571428571,0.7172012,"Bach, Johann Sebastian, Partita in E minor, BWV 830, Hu0TihVQnaY",1808.20946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
748,6481,Bach,Johann Sebastian,"Polonaise in D minor, BWV Anh.128",British,1685,1750,"Bach, Polonaise in D minor, BWV Anh 128",1_kE609bA7g,1.0,0.77902657,"Bach, Johann Sebastian, Polonaise in D minor, BWV Anh.128, 1_kE609bA7g",97.23746875,1.0,train,1.0,Johann Sebastian Bach,Baroque
749,6482,Bach,Johann Sebastian,"Polonaise in F major, BWV Anh.117a",British,1685,1750,"Bach: Polonaise in F Major, BWV Anh. 117a (Urtext Edition)",W_ZWH7wGB1M,1.0,0.9405835,"Bach, Johann Sebastian, Polonaise in F major, BWV Anh.117a, W_ZWH7wGB1M",123.26546875,1.0,validation,1.0,Johann Sebastian Bach,Baroque
753,6486,Bach,Johann Sebastian,"Prelude and Fughetta in D minor, BWV 899",British,1685,1750,J. S. Bach - Prelude and Fughetta in D Minor BWV 899,YyCQ61sisds,1.0,0.9748509,"Bach, Johann Sebastian, Prelude and Fughetta in D minor, BWV 899, YyCQ61sisds",147.60146875,1.0,test,1.0,Johann Sebastian Bach,Baroque
754,6487,Bach,Johann Sebastian,"Prelude and Fughetta in E minor, BWV 900",British,1685,1750,J. S. Bach - Prelude and Fughetta in E Minor BWV 900,3M_Bf7iwPlA,1.0,0.9666377,"Bach, Johann Sebastian, Prelude and Fughetta in E minor, BWV 900, 3M_Bf7iwPlA",222.40946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
756,6489,Bach,Johann Sebastian,"Prelude and Fughetta in G major, BWV 902",British,1685,1750,"J.S. Bach: Prelude & Fughetta in G Major, BWV 902 - 1. Prelude",aYPld96pzR4,0.8888888888888888,0.94656837,"Bach, Johann Sebastian, Prelude and Fughetta in G major, BWV 902, aYPld96pzR4",206.46146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
759,6492,Bach,Johann Sebastian,"Prelude and Fugue on 'B-A-C-H', BWV 898",British,1685,1750,J. S. Bach - Prelude and Fuge in B-Flat Major on the name B.A.C.H. BWV 898,1wovG2n62qU,0.9090909090909092,0.9163408,"Bach, Johann Sebastian, Prelude and Fugue on 'B-A-C-H', BWV 898, 1wovG2n62qU",322.16546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
782,6515,Bach,Johann Sebastian,"Prelude and Fugue in C major, BWV 846",British,1685,1750,"Prelude and Fugue No. 1 in C major, BWV 846, from Bach's Well-tempered Clavier, Gulda pianist",0KQW2YnCUrE,1.0,0.9023417,"Bach, Johann Sebastian, Prelude and Fugue in C major, BWV 846, 0KQW2YnCUrE",318.02546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
783,6516,Bach,Johann Sebastian,"Prelude and Fugue in C minor, BWV 847",British,1685,1750,J.S. Bach - Prelude & Fugue BWV 847 in c minor by Nathalie Matthys,R0nZjkh-U7I,0.8888888888888888,0.79210025,"Bach, Johann Sebastian, Prelude and Fugue in C minor, BWV 847, R0nZjkh-U7I",194.50946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
784,6517,Bach,Johann Sebastian,"Prelude and Fugue in C-sharp major, BWV 848",British,1685,1750,Bach: WTC1 No. 3 in C sharp major BWV 848 (Richter),Z-c8WG2GTaI,0.7,0.9500358,"Bach, Johann Sebastian, Prelude and Fugue in C-sharp major, BWV 848, Z-c8WG2GTaI",199.72946875,1.0,train,1.0,Johann Sebastian Bach,Baroque
785,6518,Bach,Johann Sebastian,"Prelude and Fugue in C-sharp minor, BWV 849",British,1685,1750,Bach: WTC1 No. 4 in c sharp minor BWV 849 (Richter),zdD_QygwRuY,0.7,0.95826405,"Bach, Johann Sebastian, Prelude and Fugue in C-sharp minor, BWV 849, zdD_QygwRuY",574.34546875,1.0,train,1.0,Johann Sebastian Bach,Baroque
786,6519,Bach,Johann Sebastian,"Prelude and Fugue in D major, BWV 850",British,1685,1750,Richter plays Bach: WTC1 No. 5 in D major BWV 850,K_85VWhfSRA,0.6666666666666666,0.9047872,"Bach, Johann Sebastian, Prelude and Fugue in D major, BWV 850, K_85VWhfSRA",183.06146875,1.0,train,1.0,Johann Sebastian Bach,Baroque
787,6520,Bach,Johann Sebastian,"Prelude and Fugue in D minor, BWV 851",British,1685,1750,"J. Bach - Prelude and Fugue in D minor, BWV 851",UNMeJXzIajU,1.0,0.9006595,"Bach, Johann Sebastian, Prelude and Fugue in D minor, BWV 851, UNMeJXzIajU",218.16146875,1.0,validation,1.0,Johann Sebastian Bach,Baroque
