,surname,firstname,music,nationality,birth,death,youtube_title,youtube_id,similarity,piano_solo_prob,audio_name,audio_duration,giant_midi_piano,split,surname_in_youtube_title,fullname,era
1537,Albinoni,Tomaso,"Concerto for 2 Oboes in G major, Op.9 No.6",Italian,1671,1751,"Tomaso Albinoni. Concerto for 2 oboes, strings & b.c. Op. 9, No. 6 in G major",hOE67bqOLT8,1.0,0.007992715,"Albinoni, Tomaso, Concerto for 2 Oboes in G major, Op.9 No.6, hOE67bqOLT8",603.50546875,0.0,,1.0,Tomaso Albinoni,Baroque
1538,Albinoni,Tomaso,"Concerto for 2 Oboes in C major, Op.9 No.9",Italian,1671,1751,"Tomaso Albinoni Concerto for 2 Oboes in C Major, Op. 9 No. 9",WAkVt1es6Vk,1.0,0.005255182,"Albinoni, Tomaso, Concerto for 2 Oboes in C major, Op.9 No.9, WAkVt1es6Vk",624.02546875,0.0,,1.0,Tomaso Albinoni,Baroque
1539,Albinoni,Tomaso,"Concerto for 2 Oboes in D major, Op.9 No.12",Italian,1671,1751,"Tomaso Albinoni. Concerto for 2 oboes, strings & b.c. Op. 9, No 12 in D major",Svst39RGkPQ,1.0,0.011495506,"Albinoni, Tomaso, Concerto for 2 Oboes in D major, Op.9 No.12, Svst39RGkPQ",471.09746875,0.0,,1.0,Tomaso Albinoni,Baroque
1540,Albinoni,Tomaso,"Concerto in D major, T.Mi 3",Italian,1671,1751,"Concerto in C Major, T.Mi 3, I. Allegro moderato - by Tomaso Albinoni, trans. Michel Rondeau",9xXk5Plihjw,0.875,8.270964e-05,"Albinoni, Tomaso, Concerto in D major, T.Mi 3, 9xXk5Plihjw",428.22146875,0.0,,1.0,Tomaso Albinoni,Baroque
1541,Albinoni,Tomaso,Il concilio de' pianeti,Italian,1671,1751,I SOLISTI VENETI - Tomaso Albinoni. IL CONCILIO DE' PIANETI,2T9wLuyNnnY,1.0,0.008589463,"Albinoni, Tomaso, Il concilio de' pianeti, 2T9wLuyNnnY",5488.88546875,0.0,,1.0,Tomaso Albinoni,Baroque
1542,Albinoni,Tomaso,"Di tante ree sciagure, T.204.12",Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.125,,,,,,,Tomaso Albinoni,Baroque
1543,Albinoni,Tomaso,"Donna illustre del Lazio, T.204.18",Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.125,,,,,,,Tomaso Albinoni,Baroque
1544,Albinoni,Tomaso,"Dubbio affetto il cor mi strugge, T.204.16",Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.1,,,,,,,Tomaso Albinoni,Baroque
1545,Albinoni,Tomaso,L'Eraclea,Italian,1671,1751,Albinoni - Opera «L’Eraclea» Aria 'Il mio crin su l’alto soglio' | Ana Quintans,84BscFzXMHw,1.0,0.0006122097,"Albinoni, Tomaso, L'Eraclea, 84BscFzXMHw",118.62146875,0.0,,1.0,Tomaso Albinoni,Baroque
1546,Albinoni,Tomaso,Figlia d'un dolce amore,Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.1666666666666666,,,,,,,Tomaso Albinoni,Baroque
1547,Albinoni,Tomaso,"Fileno caro amico, T.204.13",Italian,1671,1751,Tomaso Albinoni - Adagio (best live version),_eLU5W1vc8Y,0.1428571428571428,,,,,,,Tomaso Albinoni,Baroque
1548,Albinoni,Tomaso,"Già dal mar sorgea l’alba, T.204.02",Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.1,,,,,,,Tomaso Albinoni,Baroque
1549,Albinoni,Tomaso,In rea procella di mar infido,Italian,1671,1751,"Remo Giazotto (Tomaso Albinoni) ""Adagio in G minor""",KOR8iS4xqk0,0.2857142857142857,,,,,,,Tomaso Albinoni,Baroque
1550,Albinoni,Tomaso,Io non pretendo o stelle,Italian,1671,1751,none,none,0.0,,,,,,,Tomaso Albinoni,Baroque
1551,Albinoni,Tomaso,Io non so se amor tu sei,Italian,1671,1751,"Marilyn Horne, Tancredi, Arie Alternative",u1LvCGwYDrM,0.0,,,,,,,Tomaso Albinoni,Baroque
1552,Albinoni,Tomaso,Li stratagemmi amorosi,Italian,1671,1751,Tomaso Albinoni - Adagio (best live version),_eLU5W1vc8Y,0.25,,,,,,,Tomaso Albinoni,Baroque
1553,Albinoni,Tomaso,"Lontan da te, mia vita, T.204.06",Italian,1671,1751,Albinoni: Lontan da te mia vita - I Solisti Ambrosiani,FAPdoU_ywRo,0.6666666666666666,0.02892142,"Albinoni, Tomaso, Lontan da te, mia vita, T.204.06, FAPdoU_ywRo",65.70146875,0.0,,1.0,Tomaso Albinoni,Baroque
1554,Albinoni,Tomaso,"Lontananza crudel, mi squarci il core, T.204.04",Italian,1671,1751,"Lontananza crudel, mi squarci il core, Op. 4 No. 5: II. Cavata",IztV3Fm8iBg,0.6,,,,,,,Tomaso Albinoni,Baroque
1555,Albinoni,Tomaso,L’incostanza schernita,Italian,1671,1751,Albinoni - Opera «L'incostanza schernita» Aria 'Quel sembiante e quel bel volto' | Ana Quintans,VJRdT1spgvM,1.0,0.0031793397,"Albinoni, Tomaso, L’incostanza schernita, VJRdT1spgvM",488.08946875,0.0,,1.0,Tomaso Albinoni,Baroque
1556,Albinoni,Tomaso,Il nascimento dell’Aurora,Italian,1671,1751,Albinoni: Il nascimento dell’Aurora - “Aure andate e baciate”,NuVzYWXbqfM,1.0,0.019488689,"Albinoni, Tomaso, Il nascimento dell’Aurora, NuVzYWXbqfM",203.36546875,0.0,,1.0,Tomaso Albinoni,Baroque
1557,Albinoni,Tomaso,Nel duol che prova,Italian,1671,1751,1 Hour Classical Music with TOMASO ALBINONI - Concertos for Oboe and Violin (Full Recording)[HQ],KzxWHnpShL4,0.2,,,,,,,Tomaso Albinoni,Baroque
1558,Albinoni,Tomaso,Non perché è il sol turbato,Italian,1671,1751,Tomaso Albinoni - Adagio (best live version),_eLU5W1vc8Y,0.1428571428571428,,,,,,,Tomaso Albinoni,Baroque
1559,Albinoni,Tomaso,Non perdo la calma,Italian,1671,1751,"MAE 2015 / Nicola Sala / Non perdo la calma, RA IV.B.6.28",eKLlRF6GmMk,0.8,0.00041464122,"Albinoni, Tomaso, Non perdo la calma, eKLlRF6GmMk",467.38946875,0.0,,0.0,Tomaso Albinoni,Baroque
1560,Albinoni,Tomaso,"Oboe Concerto in B-flat major, Op.7 No.3",Italian,1671,1751,Tomaso Giovanni Albinoni. Concerto Op. 7 No. 3 in B flat major,tBba-RenqSo,0.9090909090909092,0.0020928062,"Albinoni, Tomaso, Oboe Concerto in B-flat major, Op.7 No.3, tBba-RenqSo",489.63746875,0.0,,1.0,Tomaso Albinoni,Baroque
1561,Albinoni,Tomaso,"Oboe Concerto in D major, Op.7 No.6",Italian,1671,1751,"Tomaso Albinoni. Oboe Concerto in D Major Op. 7, No. 6",SoiONk9NVoI,1.0,0.009887695,"Albinoni, Tomaso, Oboe Concerto in D major, Op.7 No.6, SoiONk9NVoI",460.65746875,0.0,,1.0,Tomaso Albinoni,Baroque
1562,Albinoni,Tomaso,"Oboe Concerto in F major, Op.7 No.9",Italian,1671,1751,"Tomaso Albinoni. Oboe Concerto in F Major Op. 7, No. 9",N7ZEG2Cxdws,1.0,0.009403914,"Albinoni, Tomaso, Oboe Concerto in F major, Op.7 No.9, N7ZEG2Cxdws",378.82946875,0.0,,1.0,Tomaso Albinoni,Baroque
1563,Albinoni,Tomaso,"Oboe Concerto in C major, Op.7 No.12",Italian,1671,1751,Tomaso Giovanni Albinoni. Concerto Op. 7 No. 12 in C major,ffj7phafhWY,0.9,0.006110124,"Albinoni, Tomaso, Oboe Concerto in C major, Op.7 No.12, ffj7phafhWY",500.11346875,0.0,,1.0,Tomaso Albinoni,Baroque
1564,Albinoni,Tomaso,"Oboe Concerto in D minor, Op.9 No.2",Italian,1671,1751,Albinoni - Oboe Concerto #2 in D Minor Op. 9,LjgndGuy77o,0.9,0.016905777,"Albinoni, Tomaso, Oboe Concerto in D minor, Op.9 No.2, LjgndGuy77o",631.51346875,0.0,,1.0,Tomaso Albinoni,Baroque
1565,Albinoni,Tomaso,"Oboe Concerto in C major, Op.9 No.5",Italian,1671,1751,"Tomaso Albinoni - Oboe Concerto Op. 9, No. 5",32PjqbsIy2U,0.7,0.007928511,"Albinoni, Tomaso, Oboe Concerto in C major, Op.9 No.5, 32PjqbsIy2U",543.20546875,0.0,,1.0,Tomaso Albinoni,Baroque
1566,Albinoni,Tomaso,"Oboe Concerto in G minor, Op.9 No.8",Italian,1671,1751,"Tomaso Albinoni - Oboe Concerto Op. 9, No. 8",3hBTledqik0,0.7,0.004065879,"Albinoni, Tomaso, Oboe Concerto in G minor, Op.9 No.8, 3hBTledqik0",618.76946875,0.0,,1.0,Tomaso Albinoni,Baroque
1567,Albinoni,Tomaso,"Oboe Concerto in B-flat major, Op.9 No.11",Italian,1671,1751,"Tommaso Albinoni:  Oboe Concerto in B-flat, Op. 9, No. 11 (Han de Vries/Alma Musica Amsterdam)",3wSpCq_zMpA,0.9090909090909092,0.0071742507,"Albinoni, Tomaso, Oboe Concerto in B-flat major, Op.9 No.11, 3wSpCq_zMpA",676.90946875,0.0,,1.0,Tomaso Albinoni,Baroque
1568,Albinoni,Tomaso,Oboe Sonata in C major,Italian,1671,1751,"T. G. Albinoni: Sonata for oboe & b.c. in C major, New Discovery / Symphonia Perusina",ZSEx-33gwZM,1.0,0.024488978,"Albinoni, Tomaso, Oboe Sonata in C major, ZSEx-33gwZM",516.67346875,0.0,,1.0,Tomaso Albinoni,Baroque
1569,Albinoni,Tomaso,"Il penar senza speranza, T.204.09",Italian,1671,1751,"Il penar senza speranza, T. 204 No. 9: No. 2, Così pena il mio core",FvaMfvEEnlY,0.75,0.002271315,"Albinoni, Tomaso, Il penar senza speranza, T.204.09, FvaMfvEEnlY",42.91346875,0.0,,0.0,Tomaso Albinoni,Baroque
1570,Albinoni,Tomaso,"Poiché al vago seren di due pupille, T.205",Italian,1671,1751,"Concerti a Cinque in D minor for Oboe and Strings, Op. 9, No. 2: I. Allegro e non presto",lDUfdOrVXG4,0.0,,,,,,,Tomaso Albinoni,Baroque
1571,Albinoni,Tomaso,Il prodigio dell'innocenza,Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.2,,,,,,,Tomaso Albinoni,Baroque
1572,Albinoni,Tomaso,"Quest’è l’ora fatale, T.204.11",Italian,1671,1751,Tomaso Albinoni - Adagio (best live version),_eLU5W1vc8Y,0.1111111111111111,,,,,,,Tomaso Albinoni,Baroque
1573,Albinoni,Tomaso,Recorder Sonata in G major,Italian,1671,1751,Tomaso G. Albinoni: Violin sonata in B flat 'Composta per il Signor Pisendel' (So 32) - II. Allegro,2y_6DhgFCOI,0.6666666666666666,0.0038703831,"Albinoni, Tomaso, Recorder Sonata in G major, 2y_6DhgFCOI",194.50946875,0.0,,1.0,Tomaso Albinoni,Baroque
1574,Albinoni,Tomaso,"Rivolse Clori un giorno, T.204.17",Italian,1671,1751,Tomaso Albinoni - Adagio (best live version),_eLU5W1vc8Y,0.125,,,,,,,Tomaso Albinoni,Baroque
1575,Albinoni,Tomaso,"Senti, bel sol, deh senti, T.204.10",Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.1111111111111111,,,,,,,Tomaso Albinoni,Baroque
1576,Albinoni,Tomaso,"Sinfonia in B-flat major, T.Si 6",Italian,1671,1751,Tomaso Albinoni - Sinfonia a 4 in B-flat (T.Si 6),ZvXBz7BSk68,0.8888888888888888,0.0019215742,"Albinoni, Tomaso, Sinfonia in B-flat major, T.Si 6, ZvXBz7BSk68",389.59346875,0.0,,1.0,Tomaso Albinoni,Baroque
1577,Albinoni,Tomaso,"Sinfonia in C major, T.Mi 2",Italian,1671,1751,A. Vivaldi (T. Albinoni): RV Anh. 93 & Mi 2 / Sinfonia for strings & b.c. in C  major / L'Orfeo,pTDe3usRwnY,1.0,0.0074875983,"Albinoni, Tomaso, Sinfonia in C major, T.Mi 2, pTDe3usRwnY",293.61746875,0.0,,1.0,Tomaso Albinoni,Baroque
1578,Albinoni,Tomaso,"Sinfonia in G major, T.Si 8",Italian,1671,1751,"Tomaso Albinoni, Sinfonia in G major T  Si 8",gqzS-XVQ29w,1.0,0.0072099147,"Albinoni, Tomaso, Sinfonia in G major, T.Si 8, gqzS-XVQ29w",512.60546875,0.0,,1.0,Tomaso Albinoni,Baroque
1579,Albinoni,Tomaso,"Sinfonia in G minor, T.Si 7",Italian,1671,1751,"T. ALBINONI: Sinfonia for Strings and B.C. in G minor Si 7, La Serenissima",f-Lve-2XL9c,1.0,0.008573263,"Albinoni, Tomaso, Sinfonia in G minor, T.Si 7, f-Lve-2XL9c",340.41746875,0.0,,0.0,Tomaso Albinoni,Baroque
1580,Albinoni,Tomaso,Son giovinetta spiritosetta,Italian,1671,1751,"Claudio Monteverdi: Io mi son giovinetta - Gracias Choir‪, Dir. Boris Abalyan‬",jyauuozjAss,0.5,,,,,,,Tomaso Albinoni,Baroque
1581,Albinoni,Tomaso,"Sonata à 5 in A major, Op.2 No.5",Italian,1671,1751,"Tomaso Giovanni Albinoni. Sonata a cinque in D major, Op. 2 No. 5",ojFrm8ZBMII,0.9090909090909092,0.0070128427,"Albinoni, Tomaso, Sonata à 5 in A major, Op.2 No.5, ojFrm8ZBMII",506.19746875,0.0,,1.0,Tomaso Albinoni,Baroque
1582,Albinoni,Tomaso,"Sonata à 5 in B-flat major, Op.2 No.9",Italian,1671,1751,"Sonata (Sinfonia) a 5 No. 5 in B-Flat Major, Op. 2 No. 9, I. Largo",6DF7wWxbviM,0.8333333333333334,0.0012323849,"Albinoni, Tomaso, Sonata à 5 in B-flat major, Op.2 No.9, 6DF7wWxbviM",99.79346875,0.0,,0.0,Tomaso Albinoni,Baroque
1583,Albinoni,Tomaso,"Sonata à 5 in C major, Op.2 No.3",Italian,1671,1751,T. G. Albinoni: Op. 2 n. 3 / II Sonata (Sinfonia) a cinque for strings & b.c. in C major / G. Sasso,rd8u0MVzgzM,0.7272727272727273,0.0143916905,"Albinoni, Tomaso, Sonata à 5 in C major, Op.2 No.3, rd8u0MVzgzM",581.43746875,0.0,,1.0,Tomaso Albinoni,Baroque
1584,Albinoni,Tomaso,"Sonata à 5 in C minor, Op.2 No.7",Italian,1671,1751,"Sonata (Sinfonia) a 5 No. 4 in C Minor, Op. 2 No. 7, I. Grave",hmMFtDE42NA,0.8181818181818182,0.011845334,"Albinoni, Tomaso, Sonata à 5 in C minor, Op.2 No.7, hmMFtDE42NA",169.41746875,0.0,,0.0,Tomaso Albinoni,Baroque
1585,Albinoni,Tomaso,"Sonata à 5 in G major, Op.2 No.1",Italian,1671,1751,"Sonata (Sinfonia) a 5 No. 1 in G Major, Op. 2 No. 1, I. Grave adagio",NsZH0EXDVKM,0.8181818181818182,0.03474632,"Albinoni, Tomaso, Sonata à 5 in G major, Op.2 No.1, NsZH0EXDVKM",84.27746875,0.0,,0.0,Tomaso Albinoni,Baroque
1586,Albinoni,Tomaso,"Sonata à 5 in G minor, Op.2 No.11",Italian,1671,1751,Albinoni - Sonata a Cinque in G Minor Op. 2 No. 6,fS600cRhEg4,0.7272727272727273,0.018986626,"Albinoni, Tomaso, Sonata à 5 in G minor, Op.2 No.11, fS600cRhEg4",511.59746875,0.0,,1.0,Tomaso Albinoni,Baroque
1587,Albinoni,Tomaso,Sonata in C major,Italian,1671,1751,Tomaso Albinoni - Sonata No. 2 in C Major,5nbBqHEoNxA,1.0,0.023112938,"Albinoni, Tomaso, Sonata in C major, 5nbBqHEoNxA",641.30546875,0.0,,1.0,Tomaso Albinoni,Baroque
1588,Albinoni,Tomaso,"Sorgea col lume in fronte, T.204.05",Italian,1671,1751,Tomaso Albinoni - Adagio in G Minor,u99f9RAvwu4,0.2222222222222222,,,,,,,Tomaso Albinoni,Baroque
1589,Albinoni,Tomaso,"Sovra letto d’erbette, T.204.07",Italian,1671,1751,Tomaso Albinoni: Adagio & Concerti,3NzXzFLYkQ4,0.125,,,,,,,Tomaso Albinoni,Baroque
1590,Albinoni,Tomaso,"Sovra molle origliere, T.204.14",Italian,1671,1751,"IVB2012 - Profesores en Concierto, Carlos Ovejero, Albinoni",bLVyajGWYcc,0.1428571428571428,,,,,,,Tomaso Albinoni,Baroque
1591,Albinoni,Tomaso,"La Statira, T.201",Italian,1671,1751,"La Statira, T.201: Vien con nuova Orribil guerra",UtMJrwmj4Pw,0.8,0.006163608,"Albinoni, Tomaso, La Statira, T.201, UtMJrwmj4Pw",333.03746875,0.0,,0.0,Tomaso Albinoni,Baroque
1592,Albinoni,Tomaso,Trio Sonata in G minor,Italian,1671,1751,Albinoni - TRIO SONATA OP. 1 NO. 4 IN G MINOR,R7GLmzU4Gjc,1.0,0.03458776,"Albinoni, Tomaso, Trio Sonata in G minor, R7GLmzU4Gjc",359.10146875,0.0,,1.0,Tomaso Albinoni,Baroque
1593,Albinoni,Tomaso,Il trionfo di Armida,Italian,1671,1751,"Tomaso Albinoni ""Cantatas completas, Op. 4_Cantata nº 2""",HSneg4pdn9Q,0.2,,,,,,,Tomaso Albinoni,Baroque
1594,Albinoni,Tomaso,"Violin Concerto in A major, Op.7 No.7",Italian,1671,1751,"T. Albinoni - Op 07, Concerti a cinque - Berlin Chamber Orchestra",PBeLkNYO8ZI,0.3,,,,,,,Tomaso Albinoni,Baroque
1595,Albinoni,Tomaso,"Violin Concerto in A major, T.Co 5",Italian,1671,1751,"Tomaso Albinoni - Violin Concerto Op. 9,  No. 4",WDXX7Nax5ak,0.3333333333333333,,,,,,,Tomaso Albinoni,Baroque
1596,Albinoni,Tomaso,"Violin Concerto in B-flat major, Op.7 No.10",Italian,1671,1751,Tomaso Giovanni Albinoni. Concerto Op.7 No. 10 in B flat major,_J5iWeaQiwY,0.9090909090909092,0.005522329,"Albinoni, Tomaso, Violin Concerto in B-flat major, Op.7 No.10, _J5iWeaQiwY",368.31746875,0.0,,1.0,Tomaso Albinoni,Baroque
1597,Albinoni,Tomaso,"Violin Concerto in B-flat major, Op.9 No.1",Italian,1671,1751,"Tomaso Albinoni - Violin Concerto Op. 9, No. 1",KCSJ1AJ_wv0,0.6363636363636364,0.027662443,"Albinoni, Tomaso, Violin Concerto in B-flat major, Op.9 No.1, KCSJ1AJ_wv0",495.97346875,0.0,,1.0,Tomaso Albinoni,Baroque
1598,Albinoni,Tomaso,"Violin Concerto in C major, Op.2 No.10",Italian,1671,1751,"Tomaso Albinoni - Violin Concerto Op. 9,  No. 10",8ITa3OP-JUw,0.6,,,,,,,Tomaso Albinoni,Baroque
1599,Albinoni,Tomaso,"Violin Concerto in C major, T.Co 2",Italian,1671,1751,Tomaso  Albinoni Violin concerto in C,PJo9rL5zHoM,0.5555555555555556,,,,,,,Tomaso Albinoni,Baroque
1600,Albinoni,Tomaso,"Violin Concerto in D major, Op.9 No.7",Italian,1671,1751,"Tomaso Albinoni - Violin Concerto Op. 9,  No. 7",C70_2hJFRFQ,0.7,0.01945694,"Albinoni, Tomaso, Violin Concerto in D major, Op.9 No.7, C70_2hJFRFQ",692.56946875,0.0,,1.0,Tomaso Albinoni,Baroque
1601,Albinoni,Tomaso,"Violin Concerto in D major, T.Co 3",Italian,1671,1751,"Violin Concerto in D Major, Co 1: III. Allegro",Hz4bBZQKzHg,0.6666666666666666,0.00010251799,"Albinoni, Tomaso, Violin Concerto in D major, T.Co 3, Hz4bBZQKzHg",61.02146875,0.0,,0.0,Tomaso Albinoni,Baroque
1602,Albinoni,Tomaso,"Violin Concerto in D minor, T.Mi 10",Italian,1671,1751,1 Hour Classical Music with TOMASO ALBINONI   Concertos for Oboe and Violin Full RecordingHQ,uQ8DQSixwRw,0.2222222222222222,,,,,,,Tomaso Albinoni,Baroque
1603,Albinoni,Tomaso,"Violin Concerto in F major, Op.2 No.2",Italian,1671,1751,T. G. Albinoni: Op. 2 n. 2 - I Concerto a cinque for strings & b.c. in F major / G. Sasso,KLNqefiAF3Q,0.8,0.031980176,"Albinoni, Tomaso, Violin Concerto in F major, Op.2 No.2, KLNqefiAF3Q",277.45346875,0.0,,1.0,Tomaso Albinoni,Baroque
1604,Albinoni,Tomaso,"Violin Concerto in F major, Op.9 No.10",Italian,1671,1751,"Tomaso Albinoni - Violin Concerto Op. 9,  No. 10",8ITa3OP-JUw,0.7,0.028959686,"Albinoni, Tomaso, Violin Concerto in F major, Op.9 No.10, 8ITa3OP-JUw",689.54546875,0.0,,1.0,Tomaso Albinoni,Baroque
1605,Albinoni,Tomaso,"Violin Concerto in G major, Op.2 No.8",Italian,1671,1751,T. G. Albinoni: Op. 2 n. 8 - IV Concerto a cinque for strings & b.c. in G major / G. Sasso,z0uKqBAEt90,0.8,0.02796172,"Albinoni, Tomaso, Violin Concerto in G major, Op.2 No.8, z0uKqBAEt90",357.19346875,0.0,,1.0,Tomaso Albinoni,Baroque
1606,Albinoni,Tomaso,"Violin Concerto in G major, T.Co 4",Italian,1671,1751,Tomaso Giovanni Albinoni. Concerto Op.7 No.4 in G major,wxRiTx9TZEw,0.6666666666666666,0.004356357,"Albinoni, Tomaso, Violin Concerto in G major, T.Co 4, wxRiTx9TZEw",451.15346875,0.0,,1.0,Tomaso Albinoni,Baroque
1607,Albinoni,Tomaso,"Violin Sonata in A minor, Op.6 No.6",Italian,1671,1751,Albinoni - Sonata in A minor op6-6,2EjRGXzokhE,0.7,0.02103896,"Albinoni, Tomaso, Violin Sonata in A minor, Op.6 No.6, 2EjRGXzokhE",660.74546875,0.0,,1.0,Tomaso Albinoni,Baroque
1608,Albinoni,Tomaso,"Violin Sonata in D minor, T.So 26",Italian,1671,1751,"Tomaso Albinoni - Violin Sonata in Dm, T So 26",q_GAuX9yFQQ,0.7777777777777778,0.0392581,"Albinoni, Tomaso, Violin Sonata in D minor, T.So 26, q_GAuX9yFQQ",578.59346875,0.0,,1.0,Tomaso Albinoni,Baroque
1609,Albinoni,Tomaso,"Violin Sonata in E minor, T.So 27",Italian,1671,1751,"Albinoni - Sonata in E minor, T.So 27",lFtCWVwtycg,0.8888888888888888,0.0036961725,"Albinoni, Tomaso, Violin Sonata in E minor, T.So 27, lFtCWVwtycg",315.72146875,0.0,,1.0,Tomaso Albinoni,Baroque
1610,Albinoni,Tomaso,"Violin Sonata in F major, T.So 28",Italian,1671,1751,"Albinoni - Sonata in F major, T.So 28",Q58-UGS56ig,0.8888888888888888,0.0061383094,"Albinoni, Tomaso, Violin Sonata in F major, T.So 28, Q58-UGS56ig",226.11746875,0.0,,1.0,Tomaso Albinoni,Baroque
1611,Albinoni,Tomaso,"Violin Sonata in G minor, T.So 29",Italian,1671,1751,"Violin Sonata in G Minor, T.So 29",Pj4SGUorD44,0.8888888888888888,0.050941516,"Albinoni, Tomaso, Violin Sonata in G minor, T.So 29, Pj4SGUorD44",491.43746875,0.0,,0.0,Tomaso Albinoni,Baroque
1612,Albinoni,Tomaso,"Violin Sonata in G minor, T.So 30",Italian,1671,1751,Tomaso Albinoni - Violin Sonata in G minor T.So 30,mrnx63GfskA,1.0,4.5253137e-06,"Albinoni, Tomaso, Violin Sonata in G minor, T.So 30, mrnx63GfskA",643.21346875,0.0,,1.0,Tomaso Albinoni,Baroque
1613,Albinoni,Tomaso,"Violin Sonata in B minor, T.So 31",Italian,1671,1751,"Albinoni - Sonata in B minor, T.So 31",KUpqMeUNGv8,0.8888888888888888,1.7866976e-05,"Albinoni, Tomaso, Violin Sonata in B minor, T.So 31, KUpqMeUNGv8",283.32146875,0.0,,1.0,Tomaso Albinoni,Baroque
1614,Albinoni,Tomaso,"Violin Sonata in B-flat major, T.So 32",Italian,1671,1751,"Violin Sonata in B-Flat Major, T. So 32: I. Adagio",9W6AIq5ecqA,0.9,0.031946063,"Albinoni, Tomaso, Violin Sonata in B-flat major, T.So 32, 9W6AIq5ecqA",120.70946875,0.0,,0.0,Tomaso Albinoni,Baroque
1615,Albinoni,Tomaso,"Violin Sonata in G minor, T.So 33",Italian,1671,1751,"Violin Sonata in G Minor, T. So 33: II. Corrente",DgLiKSnO8zU,0.8888888888888888,0.0133460695,"Albinoni, Tomaso, Violin Sonata in G minor, T.So 33, DgLiKSnO8zU",213.80546875,0.0,,0.0,Tomaso Albinoni,Baroque
